budget_1e21,N_params_B,D_tokens_B,Q_target,loss,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,coefficient_source,bootstrap_draw,context_tokens_fixed
10.0,71.0170447070478,18.311721209753987,0.9899999999999474,0.5367340707473063,7.802665942896566,0.06668607696309671,2.130647980140289,9.999999999999952,0.7802665942896604,0.006668607696309703,0.21306479801402994,b6_b8_lambda10,29,8192
1000.0,799.5839697067523,163.63441434470195,0.99,0.30092145632924094,785.036727614258,0.5959099651972171,214.3673624205334,999.9999999999885,0.785036727614267,0.000595909965197224,0.21436736242053586,b6_b8_lambda10,29,8192
0.01,2.6565849471738447,0.45961163960601886,0.99,1.302537067267667,0.007325984179939438,0.0016737747817821816,0.0010002410400343981,0.010000000001756017,0.7325984178652982,0.1673774781488264,0.10002410398587541,b6_b8_lambda10,30,4096
10.0,78.87398902643056,16.498579328268615,0.99,0.5512569136050066,7.807852589337318,0.06008313026745892,2.132064280395044,9.99999999999982,0.7807852589337458,0.006008313026746,0.2132064280395082,b6_b8_lambda10,30,8192
1000.0,935.4786824045162,139.87574954248063,0.99,0.30946509447242754,785.1046912940634,0.509387669920139,214.38592103603227,1000.0000000000158,0.785104691294051,0.0005093876699201309,0.21438592103602888,b6_b8_lambda10,30,8192
0.01,2.8999799967768425,0.42703546162556555,0.9899999999999994,1.3393905579717793,0.00743036577977103,0.0015551416130546183,0.0010144926077980713,0.01000000000062372,0.7430365779307584,0.1555141612957621,0.10144926077347953,b6_b8_lambda10,31,4096
10.0,74.51330863309764,17.457973401545594,0.99,0.5626122824167634,7.8051081610666575,0.06357697043003356,2.1313148685152687,10.00000000001196,0.7805108161057323,0.006357697042995752,0.21313148685127198,b6_b8_lambda10,31,8192
1000.0,788.4992594961974,165.9333942998489,0.99,0.3153064926189163,785.0301511867285,0.6042821958832072,214.36556661738936,1000.0000000000011,0.7850301511867276,0.0006042821958832065,0.21436556661738912,b6_b8_lambda10,31,8192
0.01,2.472367336228205,0.48777435696229765,0.99,1.3378965878903983,0.0072357443256198094,0.001776335383027628,0.0009879202919246247,0.010000000000572062,0.7235744325205881,0.17763353829260106,0.09879202918681095,b6_b8_lambda10,32,4096
10.0,73.56857695931967,17.680716658382007,0.99,0.5425636551016783,7.804470985068613,0.06438813797667012,2.1311408769894027,10.000000000034685,0.7804470985041543,0.0064388137976446784,0.2131140876982011,b6_b8_lambda10,32,8192
