draw,intercept,slope
401,-16.974295176962325,1.1378297709755982
402,-17.31630878922218,1.1501091842535425
403,-17.274162105545074,1.1519891647437883
404,-17.316818884519222,1.149386570042385
405,-16.89395144997274,1.1377946395822216
406,-17.228992707574537,1.1492186095394041
407,-17.25221624164205,1.1510195604149853
408,-17.40070909817993,1.15413958899895
409,-16.766235384339286,1.1328589749927038
410,-17.02658684526483,1.1427551791903023
411,-17.086617657402527,1.1462024541598645
412,-17.213815336472383,1.1491239788694734
413,-16.802538409402807,1.1350779589626134
414,-17.09895952405286,1.1452875710387882
415,-17.164588882790177,1.1438161001070453
416,-16.919848514669795,1.135544943540406
417,-17.41432659458732,1.1527958814746957
418,-16.88295544918696,1.1361082115750216
419,-16.994917295850687,1.1427511356045934
420,-17.349400280186156,1.1526446228576857
421,-17.102107374790883,1.1433701029555452
422,-17.294578912191316,1.1518675731527936
423,-17.171540915113372,1.1455113216681774
424,-17.124534293841123,1.1458862014995492
425,-17.09178463641415,1.1443934688680866
426,-16.929732897971554,1.1390995753925524
427,-17.046562766445668,1.1456712656032395
428,-17.391173066534087,1.1529714780421103
429,-17.13415746328681,1.1447626195706047
430,-17.16255824011331,1.1462980108512841
431,-17.251571612516347,1.1501982855801498
432,-17.163887990189004,1.1472104700146355
433,-17.29906029132231,1.15020340995156
434,-16.990436262559797,1.143067556136207
435,-17.35149144919043,1.1525732922084753
436,-17.24232644964554,1.1489169892168474
437,-17.305198969704335,1.1510569565949718
438,-17.369115645634405,1.152153949622764
439,-16.793361881918578,1.135932661572858
440,-17.189855085861833,1.1486740933001738
441,-16.964438997130486,1.1403534834345446
442,-17.138267014474525,1.1459742304044425
443,-17.297420763578547,1.1497040219803827
444,-16.990057260354785,1.1408120483123858
445,-17.442288702830368,1.1548443711662217
446,-17.004001194656578,1.1417886635051728
447,-17.264897239094278,1.151585583000325
448,-17.126874023486607,1.1482011797243352
449,-17.11399061259613,1.1433397110763477
450,-16.908823918917474,1.1373437603910008
451,-16.852700045418676,1.1367980168652088
452,-16.789307847492875,1.136547303512069
453,-16.96073592431987,1.1411704579748043
454,-16.91530791227986,1.1376227492313806
455,-17.44911408942236,1.1558927011328242
456,-17.257881406517647,1.1484183721021646
457,-17.156353062809746,1.1440618869089825
458,-17.094060761304704,1.1490950847499972
459,-16.74030577300252,1.133845862826345
460,-17.05335433038626,1.1455109597296858
461,-17.043039015887008,1.1421846275211143
462,-17.348797012455833,1.1538170601323832
463,-17.33078035427646,1.1516096931756228
464,-17.33011678286364,1.1496628207447699
465,-17.26412833126802,1.1473564965449388
466,-17.22841256739897,1.14866534868542
467,-16.97291050589979,1.1407293874175581
468,-17.254751383096973,1.1500561898826365
469,-17.005778441987115,1.1437214806291054
470,-17.16674866797158,1.1430153949973014
471,-16.952532306659542,1.1408280353435105
472,-17.14801873485599,1.1454549905045566
473,-17.126992729574862,1.1435198776252495
474,-17.28288912224589,1.1483578322097514
475,-16.885205425692376,1.1370960348251937
476,-17.15219696546765,1.1468914294023287
477,-16.941973202668155,1.1381828674716903
478,-17.23593543703043,1.1476012781290623
